image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
10444876124_bd55a85740_o_car,0.5008496195331102,0.0,0.0,0.49915038046688975,0.0,0.0,0.0,0.0,0.0,0.0
10625393575_6f9fd7f779_o_sheep,0.5008751153945923,0.0,0.0,0.0,0.0,0.4991248846054077,0.0,0.0,0.0,0.0
11937588834_d5a78a9c5d_o_bottle,0.0,0.0,0.0,0.0,0.5003981739401273,0.4996018260598727,0.0,0.0,0.0,0.0
12288804004_ae1b540c4c_o_aeroplane,0.0,0.49986767768859863,0.0,0.0,0.0,0.5001323223114014,0.0,0.0,0.0,0.0
1239139870_276e6a2ef9_o_diningtable,0.0,0.0,0.0,0.0,0.0,0.500325486054257,0.499674513945743,0.0,0.0,0.0
1239139870_276e6a2ef9_o_person,0.5007078051567078,0.0,0.0,0.0,0.0,0.49929219484329224,0.0,0.0,0.0,0.0
126835587_90b6eebfa7_o_cat,0.5008312314501038,0.0,0.0,0.4991687685498962,0.0,0.0,0.0,0.0,0.0,0.0
12876707363_6ba70c8af5_o_bird,0.49982964992523193,0.0,0.0,0.0,0.0,0.5001703500747681,0.0,0.0,0.0,0.0
14111980784_2d38dfcc02_o_dog,0.5008000135421753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4991999864578247,0.0
14235576713_d3dfbe13b1_o_motorbike,0.0,0.500078022480011,0.0,0.0,0.0,0.499921977519989,0.0,0.0,0.0,0.0
14235576713_d3dfbe13b1_o_person,0.5009173005545944,0.0,0.0,0.4990826994454056,0.0,0.0,0.0,0.0,0.0,0.0
15172808539_97b76ceeab_o_train,0.5004923492816791,0.0,0.0,0.0,0.0,0.49950765071832093,0.0,0.0,0.0,0.0
15867520885_ae5da447c5_o_cat,0.5005049705505371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994950294494629,0.0
15867520885_ae5da447c5_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5001967102347824,0.0,0.4998032897652176
15867520885_ae5da447c5_o_pottedplant,0.0,0.0,0.0,0.0,0.0,0.5000747740224138,0.0,0.0,0.49992522597758615,0.0
17102199419_a33fb5c196_o_train,0.5006258338503291,0.0,0.4993741661496709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607850431_ff980d219e_o_train,0.5002871006641656,0.0,0.0,0.0,0.0,0.4997128993358344,0.0,0.0,0.0,0.0
26480820297_67bf66f8b5_o_dog,0.5003033876419067,0.0,0.0,0.0,0.0,0.49969661235809326,0.0,0.0,0.0,0.0
26480820297_67bf66f8b5_o_person,0.49988259375445265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5001174062455473
2662086708_2ba0663717_o_bottle,0.5005938261570386,0.0,0.0,0.0,0.0,0.0,0.0,0.4994061738429614,0.0,0.0
2662086708_2ba0663717_o_person,0.0,0.5001858770958112,0.0,0.0,0.0,0.4998141229041888,0.0,0.0,0.0,0.0
