image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
00000,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00001,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00002,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00003,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00004,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00005,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00006,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00007,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00008,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00009,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00010,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00011,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00012,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00013,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00014,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00015,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00016,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00017,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00018,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00019,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00020,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00021,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00022,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00023,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00024,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00025,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00026,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00027,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00028,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00029,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00030,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00031,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00032,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00033,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00034,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00035,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00036,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00037,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00038,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00039,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00040,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00041,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00042,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00043,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00044,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00045,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00046,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00047,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00048,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00049,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00050,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00051,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00052,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00053,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00054,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00055,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00056,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00057,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00058,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00059,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00060,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00061,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00062,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00063,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00064,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00065,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00066,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00067,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00068,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00069,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00070,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00071,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00072,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00073,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00074,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00075,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00076,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00077,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00078,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00079,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00080,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00081,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00082,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00083,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00084,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00085,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00086,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00087,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00088,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00089,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00090,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00091,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00092,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00093,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00094,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00095,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00096,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00097,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00098,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00100,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00101,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00102,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00103,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00104,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00105,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00106,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00107,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00108,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00109,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00110,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00111,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00112,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00113,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00114,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00115,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00116,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00117,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00118,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00119,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00120,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00121,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
00122,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
