image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,0.0,0.0,0.0,0.0,0.5000244379043579,0.4999755620956421,0.0,0.0,0.0,0.0
0_0_155,0.0,0.0,0.0,0.0,0.5002080202102661,0.4997919797897339,0.0,0.0,0.0,0.0
0_0_272,0.0,0.0,0.0,0.0,0.5003638118397054,0.49963618816029465,0.0,0.0,0.0,0.0
0_0_280,0.0,0.0,0.0,0.0,0.500659704208374,0.499340295791626,0.0,0.0,0.0,0.0
0_0_284,0.0,0.0,0.0,0.0,0.5000713765663729,0.0,0.4999286234336271,0.0,0.0,0.0
0_0_307,0.0,0.0,0.0,0.0,0.5004881620407104,0.49951183795928955,0.0,0.0,0.0,0.0
0_0_355,0.0,0.0,0.0,0.0,0.500090479850769,0.49990952014923096,0.0,0.0,0.0,0.0
0_0_431,0.499923005702406,0.0,0.0,0.0,0.0,0.500076994297594,0.0,0.0,0.0,0.0
0_0_547,0.0,0.0,0.0,0.0,0.5002826452255249,0.0,0.4997173547744751,0.0,0.0,0.0
0_0_579,0.4985997527420447,0.5014002472579553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_610,0.0,0.0,0.0,0.0,0.5004699230194092,0.4995300769805908,0.0,0.0,0.0,0.0
0_0_735,0.0,0.0,0.0,0.0,0.5005278736510239,0.4994721263489761,0.0,0.0,0.0,0.0
0_0_77,0.0,0.0,0.0,0.0,0.5003455877304077,0.4996544122695923,0.0,0.0,0.0,0.0
0_0_775,0.5025612265634902,0.0,0.0,0.0,0.0,0.4974387734365098,0.0,0.0,0.0,0.0
0_0_818,0.5014336109161377,0.0,0.0,0.0,0.0,0.4985663890838623,0.0,0.0,0.0,0.0
0_0_840,0.5001448392868042,0.0,0.0,0.0,0.0,0.0,0.4998551607131958,0.0,0.0,0.0
0_0_899,0.0,0.0,0.0,0.0,0.5000640153884888,0.0,0.49993598461151123,0.0,0.0,0.0
0_0_951,0.49905967712402344,0.5009403228759766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10134,0.0,0.0,0.0,0.0,0.5005664825439453,0.4994335174560547,0.0,0.0,0.0,0.0
0_10_10135,0.0,0.0,0.0,0.0,0.5002334117889404,0.0,0.49976658821105957,0.0,0.0,0.0
0_10_10176,0.0,0.0,0.0,0.0,0.500133216381073,0.499866783618927,0.0,0.0,0.0,0.0
0_10_10283,0.0,0.0,0.0,0.0,0.5000506639480591,0.0,0.4999493360519409,0.0,0.0,0.0
0_10_10343,0.0,0.0,0.0,0.0,0.5002763718284258,0.0,0.49972362817157423,0.0,0.0,0.0
0_10_10392,0.500561535358429,0.0,0.0,0.0,0.0,0.49943846464157104,0.0,0.0,0.0,0.0
0_10_10396,0.0,0.0,0.0,0.0,0.5003109127375756,0.0,0.49968908726242445,0.0,0.0,0.0
0_10_10484,0.0,0.0,0.0,0.0,0.49984617531758024,0.0,0.5001538246824198,0.0,0.0,0.0
0_10_10507,0.0,0.0,0.0,0.0,0.5007543563842773,0.49924564361572266,0.0,0.0,0.0,0.0
