image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,0.0,0.0,0.0,0.0,0.5002760738052108,0.4997239261947892,0.0,0.0,0.0,0.0
0_0_155,0.0,0.0,0.0,0.0,0.5000495910644531,0.0,0.0,0.0,0.0,0.4999504089355469
0_0_272,0.5001646280288696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49983537197113037
0_0_280,0.49990785121917725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000921487808228
0_0_284,0.49990449845506246,0.0,0.0,0.0,0.5000955015449375,0.0,0.0,0.0,0.0,0.0
0_0_307,0.4998220205307007,0.0,0.0,0.0,0.5001779794692993,0.0,0.0,0.0,0.0,0.0
0_0_355,0.0,0.0,0.0,0.0,0.5001695305159548,0.4998304694840452,0.0,0.0,0.0,0.0
0_0_431,0.4999747127287004,0.0,0.5000252872712996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_547,0.500464141368866,0.0,0.0,0.0,0.0,0.0,0.0,0.49953585863113403,0.0,0.0
0_0_579,0.4982717037200928,0.5017282962799072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_610,0.0,0.0,0.0,0.0,0.5002705007872135,0.0,0.0,0.0,0.0,0.49972949921278653
0_0_735,0.5003741681798797,0.0,0.0,0.0,0.0,0.0,0.0,0.4996258318201203,0.0,0.0
0_0_77,0.0,0.0,0.0,0.0,0.4999851584434509,0.0,0.0,0.0,0.0,0.5000148415565491
0_0_775,0.5035043208746814,0.0,0.0,0.0,0.49649567912531856,0.0,0.0,0.0,0.0,0.0
0_0_818,0.5022501795813388,0.0,0.0,0.0,0.0,0.4977498204186612,0.0,0.0,0.0,0.0
0_0_840,0.5019819736480713,0.0,0.0,0.0,0.0,0.0,0.4980180263519287,0.0,0.0,0.0
0_0_899,0.0,0.0,0.0,0.0,0.5000584125518799,0.4999415874481201,0.0,0.0,0.0,0.0
0_0_951,0.4994792938232422,0.5005207061767578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10134,0.0,0.0,0.0,0.0,0.5000725984573364,0.4999274015426636,0.0,0.0,0.0,0.0
0_10_10135,0.0,0.0,0.0,0.0,0.5004569142920698,0.49954308570793016,0.0,0.0,0.0,0.0
0_10_10176,0.5000700354576111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999299645423889
0_10_10283,0.4999912083143716,0.0,0.0,0.0,0.0,0.0,0.5000087916856284,0.0,0.0,0.0
0_10_10343,0.5002130270004272,0.0,0.0,0.0,0.49978697299957275,0.0,0.0,0.0,0.0,0.0
0_10_10392,0.5014411061572699,0.0,0.0,0.0,0.0,0.4985588938427301,0.0,0.0,0.0,0.0
0_10_10396,0.5005146265029907,0.0,0.0,0.0,0.0,0.0,0.0,0.4994853734970093,0.0,0.0
0_10_10484,0.4998050332069397,0.0,0.0,0.0,0.0,0.5001949667930603,0.0,0.0,0.0,0.0
0_10_10507,0.0,0.0,0.0,0.0,0.5000966191291809,0.0,0.0,0.0,0.0,0.4999033808708191
0_10_10536,0.4999713897705078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000286102294922
0_10_10545,0.5005698204040527,0.0,0.0,0.0,0.0,0.0,0.0,0.49943017959594727,0.0,0.0
0_10_10600,0.0,0.0,0.0,0.0,0.5002152174647088,0.49978478253529124,0.0,0.0,0.0,0.0
0_10_10938,0.0,0.0,0.0,0.0,0.4997514486312866,0.0,0.5002485513687134,0.0,0.0,0.0
0_11_11060,0.0,0.0,0.0,0.0,0.499960035083296,0.0,0.0,0.0,0.0,0.500039964916704
0_11_11111,0.0,0.0,0.0,0.0,0.5000142455101013,0.4999857544898987,0.0,0.0,0.0,0.0
0_11_11136,0.5002619028091431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49973809719085693
0_11_11164,0.0,0.0,0.0,0.0,0.5005205273628235,0.4994794726371765,0.0,0.0,0.0,0.0
0_11_11179,0.0,0.0,0.0,0.0,0.4998046308814099,0.0,0.0,0.0,0.0,0.5001953691185901
0_11_11219,0.0,0.0,0.0,0.0,0.5004180669784546,0.0,0.0,0.0,0.0,0.4995819330215454
0_11_11263,0.5002871006641656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4997128993358344
0_11_11281,0.5015383958816528,0.0,0.0,0.0,0.0,0.49846160411834717,0.0,0.0,0.0,0.0
0_11_11297,0.5002709478059129,0.0,0.0,0.0,0.49972905219408714,0.0,0.0,0.0,0.0,0.0
0_11_11298,0.0,0.0,0.0,0.0,0.5000609159469604,0.0,0.0,0.0,0.0,0.49993908405303955
0_11_11309,0.0,0.0,0.0,0.0,0.5004696249961853,0.4995303750038147,0.0,0.0,0.0,0.0
0_11_11313,0.0,0.0,0.0,0.0,0.5004323274026015,0.49956767259739854,0.0,0.0,0.0,0.0
0_11_11325,0.0,0.0,0.0,0.0,0.5003279447555542,0.4996720552444458,0.0,0.0,0.0,0.0
0_11_11328,0.0,0.0,0.0,0.0,0.5001433789815533,0.0,0.49985662101844675,0.0,0.0,0.0
0_11_11346,0.5004034489272997,0.0,0.0,0.0,0.4995965510727003,0.0,0.0,0.0,0.0,0.0
0_11_11425,0.499747633934021,0.0,0.500252366065979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11435,0.0,0.0,0.0,0.0,0.5002003312110901,0.0,0.4997996687889099,0.0,0.0,0.0
0_11_11459,0.5004642009735107,0.0,0.0,0.0,0.0,0.49953579902648926,0.0,0.0,0.0,0.0
0_11_11480,0.5026145877012365,0.0,0.0,0.0,0.0,0.49738541229876354,0.0,0.0,0.0,0.0
0_11_11517,0.5047082901000977,0.0,0.0,0.49529170989990234,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11533,0.0,0.0,0.0,0.0,0.49997779727114455,0.0,0.5000222027288554,0.0,0.0,0.0
0_11_11557,0.5004860758781433,0.0,0.0,0.0,0.0,0.0,0.0,0.4995139241218567,0.0,0.0
0_11_11561,0.502171799475795,0.0,0.0,0.0,0.0,0.49782820052420496,0.0,0.0,0.0,0.0
0_11_11571,0.5004849583055067,0.0,0.49951504169449334,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11650,0.0,0.0,0.49975861609701466,0.0,0.5002413839029853,0.0,0.0,0.0,0.0,0.0
0_11_11830,0.49993133544921875,0.0,0.0,0.0,0.0,0.5000686645507812,0.0,0.0,0.0,0.0
0_11_11852,0.0,0.0,0.0,0.0,0.5002201944655238,0.4997798055344762,0.0,0.0,0.0,0.0
0_11_11875,0.504087492701784,0.0,0.0,0.0,0.0,0.495912507298216,0.0,0.0,0.0,0.0
0_11_11881,0.0,0.0,0.0,0.0,0.5003503710135928,0.4996496289864072,0.0,0.0,0.0,0.0
0_11_11924,0.0,0.0,0.0,0.0,0.5001090317997048,0.0,0.4998909682002952,0.0,0.0,0.0
0_11_11945,0.5003052800802803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4996947199197197
0_11_11981,0.0,0.0,0.0,0.0,0.49993354082107544,0.0,0.0,0.0,0.0,0.5000664591789246
0_11_11987,0.0,0.0,0.49994081258773804,0.0,0.0,0.0,0.500059187412262,0.0,0.0,0.0
0_12_12000,0.0,0.0,0.0,0.0,0.5000604242068403,0.0,0.49993957579315973,0.0,0.0,0.0
0_12_12048,0.5002454370187093,0.0,0.0,0.0,0.0,0.49975456298129073,0.0,0.0,0.0,0.0
0_12_12072,0.0,0.0,0.0,0.0,0.5003541707992554,0.0,0.49964582920074463,0.0,0.0,0.0
0_12_12144,0.5000806301808169,0.0,0.0,0.0,0.0,0.0,0.0,0.49991936981918306,0.0,0.0
0_12_12171,0.0,0.0,0.0,0.0,0.5000141412023944,0.0,0.4999858587976056,0.0,0.0,0.0
0_12_12226,0.0,0.0,0.0,0.0,0.5002172291408318,0.0,0.4997827708591682,0.0,0.0,0.0
0_12_12322,0.5004130601882935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49958693981170654
0_12_12344,0.0,0.0,0.0,0.0,0.49985252320326934,0.5001474767967307,0.0,0.0,0.0,0.0
0_12_12372,0.0,0.0,0.0,0.0,0.5002294182777405,0.0,0.4997705817222595,0.0,0.0,0.0
0_12_12424,0.0,0.0,0.0,0.0,0.5002835988998413,0.0,0.4997164011001587,0.0,0.0,0.0
0_12_12429,0.5029799788302189,0.0,0.0,0.0,0.49702002116978106,0.0,0.0,0.0,0.0,0.0
0_12_12435,0.5003548860549927,0.0,0.0,0.0,0.0,0.4996451139450073,0.0,0.0,0.0,0.0
0_12_12484,0.0,0.0,0.0,0.0,0.500056877733972,0.0,0.0,0.0,0.0,0.499943122266028
0_12_12518,0.0,0.0,0.5001287013330669,0.0,0.0,0.0,0.49987129866693314,0.0,0.0,0.0
0_12_12597,0.5001475661949049,0.0,0.0,0.0,0.49985243380509514,0.0,0.0,0.0,0.0,0.0
0_12_12619,0.5000701546669006,0.0,0.0,0.0,0.0,0.0,0.49992984533309937,0.0,0.0,0.0
0_12_12649,0.5006774663925171,0.0,0.4993225336074829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_12_12693,0.500756040238024,0.0,0.0,0.499243959761976,0.0,0.0,0.0,0.0,0.0,0.0
0_12_12705,0.5005768984384269,0.0,0.4994231015615731,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_12_12750,0.0,0.0,0.0,0.0,0.5001574158668518,0.0,0.0,0.0,0.0,0.4998425841331482
0_12_12771,0.0,0.0,0.0,0.0,0.5001250505447388,0.0,0.49987494945526123,0.0,0.0,0.0
0_12_12793,0.5023858397488046,0.0,0.0,0.0,0.4976141602511954,0.0,0.0,0.0,0.0,0.0
0_12_12816,0.5003302693367004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49966973066329956
0_12_12833,0.5004684627335347,0.0,0.49953153726646526,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_12_12845,0.0,0.0,0.0,0.0,0.5005082041176618,0.0,0.49949179588233816,0.0,0.0,0.0
0_12_12884,0.49777424335479736,0.5022257566452026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_12_12891,0.49999381601828885,0.5000061839817111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_12_12892,0.0,0.0,0.0,0.0,0.5002280175549974,0.0,0.49977198244500265,0.0,0.0,0.0
0_12_12921,0.5000650137643512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999349862356488
0_12_12923,0.5023598820674384,0.0,0.0,0.0,0.0,0.0,0.4976401179325616,0.0,0.0,0.0
0_12_12974,0.5002464056015015,0.0,0.0,0.0,0.49975359439849854,0.0,0.0,0.0,0.0,0.0
0_13_13027,0.5006583779854066,0.0,0.4993416220145934,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13036,0.0,0.0,0.0,0.0,0.5001587122631457,0.0,0.0,0.0,0.0,0.4998412877368543
0_13_13173,0.0,0.0,0.0,0.0,0.5003273487091064,0.49967265129089355,0.0,0.0,0.0,0.0
0_13_13198,0.5007263571240412,0.0,0.0,0.49927364287595877,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13223,0.5006289482116699,0.0,0.4993710517883301,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13235,0.5001303553581238,0.0,0.0,0.0,0.4998696446418762,0.0,0.0,0.0,0.0,0.0
0_13_13264,0.5006282180360491,0.0,0.0,0.0,0.0,0.0,0.0,0.49937178196395093,0.0,0.0
0_13_13295,0.5001573711680583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49984262883194175
0_13_13308,0.5001248121261597,0.0,0.0,0.0,0.49987518787384033,0.0,0.0,0.0,0.0,0.0
0_13_13331,0.0,0.0,0.0,0.0,0.500297024854929,0.499702975145071,0.0,0.0,0.0,0.0
0_13_13339,0.5003830790519714,0.0,0.0,0.0,0.49961692094802856,0.0,0.0,0.0,0.0,0.0
0_13_13347,0.0,0.0,0.0,0.0,0.5000756978988647,0.0,0.0,0.0,0.0,0.49992430210113525
0_13_13349,0.0,0.0,0.0,0.0,0.4999617338180542,0.5000382661819458,0.0,0.0,0.0,0.0
0_13_13356,0.5011928826926018,0.0,0.0,0.0,0.0,0.0,0.49880711730739824,0.0,0.0,0.0
0_13_13361,0.0,0.0,0.0,0.0,0.500070333480835,0.0,0.49992966651916504,0.0,0.0,0.0
0_13_13368,0.0,0.0,0.0,0.0,0.5001260489187822,0.0,0.4998739510812178,0.0,0.0,0.0
0_13_13386,0.0,0.0,0.0,0.0,0.4999966025352478,0.0,0.0,0.0,0.0,0.5000033974647522
0_13_13400,0.5005851984024048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4994148015975952
0_13_13420,0.500531792640686,0.0,0.49946820735931396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13422,0.5011568069458008,0.4988431930541992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13450,0.0,0.0,0.0,0.0,0.49973896144264707,0.0,0.5002610385573529,0.0,0.0,0.0
0_13_13453,0.500651478767395,0.0,0.499348521232605,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13460,0.0,0.0,0.0,0.0,0.5000371932983398,0.0,0.0,0.0,0.0,0.49996280670166016
0_13_13515,0.5007362365722656,0.0,0.0,0.4992637634277344,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13553,0.5006862282752991,0.0,0.0,0.4993137717247009,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13700,0.5007355659980903,0.0,0.4992644340019097,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13845,0.0,0.5032086222407632,0.0,0.49679137775923676,0.0,0.0,0.0,0.0,0.0,0.0
0_13_13885,0.5004087537405266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4995912462594734
0_14_14093,0.500362753868103,0.0,0.499637246131897,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14181,0.0,0.0,0.0,0.0,0.5004191398620605,0.0,0.49958086013793945,0.0,0.0,0.0
0_14_14532,0.5018359422683716,0.0,0.4981640577316284,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_14_14597,0.500261649481605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.499738350518395
0_14_14651,0.0,0.0,0.0,0.0,0.500450745238386,0.49954925476161405,0.0,0.0,0.0,0.0
0_14_14747,0.5027345715323346,0.0,0.0,0.0,0.0,0.0,0.4972654284676654,0.0,0.0,0.0
0_14_14830,0.5001463144974019,0.0,0.0,0.0,0.4998536855025981,0.0,0.0,0.0,0.0,0.0
0_14_14831,0.5012826919555664,0.0,0.0,0.0,0.0,0.0,0.4987173080444336,0.0,0.0,0.0
0_14_14901,0.0,0.0,0.0,0.0,0.5001986324905534,0.0,0.4998013675094466,0.0,0.0,0.0
0_14_14926,0.5001335144042969,0.0,0.0,0.0,0.0,0.4998664855957031,0.0,0.0,0.0,0.0
0_14_14991,0.5002871602688086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4997128397311914
0_15_15022,0.4999118596341652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000881403658348
0_15_15030,0.5003306567866002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49966934321339984
0_15_15264,0.0,0.0,0.0,0.0,0.5003468990325928,0.0,0.4996531009674072,0.0,0.0,0.0
0_15_15345,0.5001286417284203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998713582715797
0_15_15522,0.49984569848043625,0.0,0.0,0.0,0.5001543015195637,0.0,0.0,0.0,0.0,0.0
0_15_15620,0.0,0.0,0.0,0.0,0.5002357214619004,0.49976427853809957,0.0,0.0,0.0,0.0
0_15_15622,0.5001735091209412,0.0,0.0,0.0,0.0,0.49982649087905884,0.0,0.0,0.0,0.0
0_15_15644,0.500441312789917,0.0,0.0,0.0,0.0,0.0,0.0,0.499558687210083,0.0,0.0
0_15_15663,0.5000916123390198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4999083876609802
0_15_15742,0.5008426755415596,0.0,0.4991573244584404,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_15_15763,0.0,0.0,0.0,0.0,0.5003476142883301,0.0,0.4996523857116699,0.0,0.0,0.0
