image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
10444876124_bd55a85740_o_car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
10625393575_6f9fd7f779_o_sheep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
11937588834_d5a78a9c5d_o_bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12288804004_ae1b540c4c_o_aeroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1239139870_276e6a2ef9_o_diningtable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1239139870_276e6a2ef9_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
126835587_90b6eebfa7_o_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12876707363_6ba70c8af5_o_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14111980784_2d38dfcc02_o_dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14235576713_d3dfbe13b1_o_motorbike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14235576713_d3dfbe13b1_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15172808539_97b76ceeab_o_train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15867520885_ae5da447c5_o_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15867520885_ae5da447c5_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
15867520885_ae5da447c5_o_pottedplant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17102199419_a33fb5c196_o_train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2607850431_ff980d219e_o_train,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26480820297_67bf66f8b5_o_dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
26480820297_67bf66f8b5_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2662086708_2ba0663717_o_bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2662086708_2ba0663717_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2732235809_2876233055_o_car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2732235809_2876233055_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3048863084_d75a1117bb_o_horse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3149358543_538d50ec27_o_bicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31640175417_55233a16d7_o_pottedplant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31640175417_55233a16d7_o_sofa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31640175417_55233a16d7_o_tv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
32458719610_ce4f95b295_o_boat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33129627671_6d852bcb1b_o_dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33129627671_6d852bcb1b_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33216685756_213d2fce9b_o_dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33216685756_213d2fce9b_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33418369478_34e2d414b0_o_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
33854031078_243f790e9a_o_boat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
34432213793_e3b4cd4bfb_o_chair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3452305385_03f6b12637_o_pottedplant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3504931215_2197746522_o_cow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
35437209365_176181ff01_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3574155766_446628652d_o_bird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3597146429_174598be9a_o_tv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3672689292_95ed122fee_o_bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37605487856_c7d4797304_o_aeroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3797521857_7fb15f0c39_o_bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3797521857_7fb15f0c39_o_car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3837042975_f05796e37a_o_bicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
3837042975_f05796e37a_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38651289064_b2182b92f6_o_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38651289064_b2182b92f6_o_dog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
40833828660_5b2d7a0f4b_o_cat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
42343162002_e8d7500951_o_aeroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4426938429_14a564695a_o_sofa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4450861797_39f2775ae5_o_car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4450861797_39f2775ae5_o_person,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
