image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,0.5005186796188354,0.0,0.49948132038116455,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_155,0.5003725141175832,0.0,0.0,0.0,0.0,0.4996274858824168,0.0,0.0,0.0,0.0
0_0_272,0.5007246136665344,0.0,0.0,0.4992753863334656,0.0,0.0,0.0,0.0,0.0,0.0
0_0_280,0.5008609444159551,0.0,0.0,0.4991390555840449,0.0,0.0,0.0,0.0,0.0,0.0
0_0_284,0.5001138746806308,0.0,0.0,0.0,0.0,0.0,0.0,0.49988612531936916,0.0,0.0
0_0_307,0.5007311552545084,0.0,0.0,0.4992688447454916,0.0,0.0,0.0,0.0,0.0,0.0
0_0_355,0.49980644881148484,0.0,0.0,0.0,0.0,0.5001935511885152,0.0,0.0,0.0,0.0
0_0_431,0.5000818222736769,0.0,0.4999181777263231,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_547,0.5007608532905579,0.0,0.0,0.49923914670944214,0.0,0.0,0.0,0.0,0.0,0.0
0_0_579,0.5002014636993408,0.0,0.0,0.0,0.0,0.4997985363006592,0.0,0.0,0.0,0.0
0_0_610,0.0,0.49947428703308105,0.0,0.0,0.0,0.0,0.500525712966919,0.0,0.0,0.0
0_0_735,0.5005702078682308,0.0,0.4994297921317692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_77,0.4998558759689331,0.0,0.0,0.0,0.0,0.0,0.5001441240310669,0.0,0.0,0.0
0_0_775,0.5007517337799072,0.0,0.0,0.4992482662200928,0.0,0.0,0.0,0.0,0.0,0.0
0_0_818,0.5008635520935059,0.0,0.0,0.49913644790649414,0.0,0.0,0.0,0.0,0.0,0.0
0_0_840,0.0,0.0,0.0,0.0,0.5000308156013489,0.0,0.0,0.0,0.0,0.4999691843986511
0_0_899,0.5000799894332886,0.0,0.0,0.0,0.0,0.0,0.0,0.4999200105667114,0.0,0.0
0_0_951,0.5007851273055413,0.0,0.0,0.49921487269445874,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998378455735537,0.0,0.5001621544264463
0_10_10135,0.49956433473719164,0.0,0.0,0.0,0.5004356652628084,0.0,0.0,0.0,0.0,0.0
0_10_10176,0.5005600452423096,0.0,0.49943995475769043,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10283,0.0,0.0,0.0,0.0,0.5006020069122314,0.49939799308776855,0.0,0.0,0.0,0.0
0_10_10343,0.5007034540176392,0.0,0.0,0.49929654598236084,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10392,0.0,0.0,0.0,0.0,0.5000201910728159,0.0,0.0,0.0,0.0,0.4999798089271841
0_10_10396,0.5005250573158264,0.0,0.0,0.0,0.0,0.0,0.0,0.4994749426841736,0.0,0.0
0_10_10484,0.5008358955383301,0.0,0.0,0.4991641044616699,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10507,0.5001545548439026,0.0,0.0,0.0,0.4998454451560974,0.0,0.0,0.0,0.0,0.0
0_10_10536,0.5006457418010908,0.0,0.4993542581989092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10545,0.0,0.0,0.0,0.0,0.5000660419464111,0.0,0.0,0.0,0.0,0.49993395805358887
