image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,0.5008173138146792,0.0,0.0,0.4991826861853208,0.0,0.0,0.0,0.0,0.0,0.0
0_0_155,0.5007443278806112,0.0,0.0,0.0,0.0,0.4992556721193888,0.0,0.0,0.0,0.0
0_0_272,0.5007279068448516,0.0,0.0,0.4992720931551484,0.0,0.0,0.0,0.0,0.0,0.0
0_0_280,0.500942751737155,0.0,0.0,0.49905724826284503,0.0,0.0,0.0,0.0,0.0,0.0
0_0_284,0.5007119178771973,0.0,0.0,0.0,0.0,0.0,0.0,0.49928808212280273,0.0,0.0
0_0_307,0.5008548796686458,0.0,0.0,0.49914512033135416,0.0,0.0,0.0,0.0,0.0,0.0
0_0_355,0.5007013231724895,0.0,0.4992986768275105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_431,0.5006020069122314,0.0,0.49939799308776855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_547,0.5007448345644723,0.0,0.4992551654355277,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_579,0.500634491443634,0.0,0.0,0.0,0.0,0.49936550855636597,0.0,0.0,0.0,0.0
0_0_610,0.5003935545565619,0.0,0.0,0.0,0.0,0.0,0.0,0.49960644544343813,0.0,0.0
0_0_735,0.5007856488227844,0.0,0.0,0.4992143511772156,0.0,0.0,0.0,0.0,0.0,0.0
0_0_77,0.500385746348329,0.0,0.0,0.0,0.0,0.499614253651671,0.0,0.0,0.0,0.0
0_0_775,0.5007538199424744,0.0,0.0,0.49924618005752563,0.0,0.0,0.0,0.0,0.0,0.0
0_0_818,0.5008643865585327,0.0,0.0,0.4991356134414673,0.0,0.0,0.0,0.0,0.0,0.0
0_0_840,0.5007925480367974,0.0,0.0,0.4992074519632026,0.0,0.0,0.0,0.0,0.0,0.0
0_0_899,0.5004382133483887,0.0,0.0,0.0,0.0,0.0,0.0,0.49956178665161133,0.0,0.0
0_0_951,0.5008313655853271,0.0,0.0,0.49916863441467285,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10134,0.5006760656430682,0.0,0.4993239343569318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10135,0.4995792508125305,0.0,0.0,0.0,0.5004207491874695,0.0,0.0,0.0,0.0,0.0
0_10_10176,0.5007293820381165,0.0,0.49927061796188354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10283,0.0,0.0,0.0,0.0,0.500106155872345,0.0,0.0,0.0,0.0,0.49989384412765503
0_10_10343,0.5007082223892212,0.0,0.0,0.4992917776107788,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10392,0.5006155967712402,0.0,0.0,0.0,0.0,0.0,0.0,0.49938440322875977,0.0,0.0
0_10_10396,0.5006455332233171,0.0,0.49935446677668294,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10484,0.500856876373291,0.0,0.0,0.499143123626709,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10507,0.49998563528060913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5000143647193909
0_10_10536,0.5006192326545715,0.0,0.49938076734542847,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10545,0.5007590055465698,0.0,0.0,0.4992409944534302,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10600,0.50055992603302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49944007396698,0.0
0_10_10938,0.0,0.0,0.0,0.0,0.5001075863838196,0.0,0.4998924136161804,0.0,0.0,0.0
0_11_11060,0.5006898641586304,0.0,0.49931013584136963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11111,0.5006449818611145,0.0,0.4993550181388855,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11136,0.5007370710372925,0.0,0.0,0.4992629289627075,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11164,0.5008049160481964,0.0,0.0,0.49919508395180356,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11179,0.500761762284093,0.0,0.0,0.49923823771590703,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11219,0.5006812065636752,0.0,0.4993187934363248,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11263,0.5007790327072144,0.0,0.0,0.49922096729278564,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11281,0.5007633417617279,0.0,0.0,0.4992366582382721,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11297,0.5008218884468079,0.0,0.0,0.0,0.0,0.49917811155319214,0.0,0.0,0.0,0.0
0_11_11298,0.5008027702809206,0.0,0.0,0.4991972297190794,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11309,0.5009308158796539,0.0,0.0,0.0,0.0,0.49906918412034607,0.0,0.0,0.0,0.0
0_11_11313,0.5008348822593689,0.0,0.0,0.0,0.0,0.4991651177406311,0.0,0.0,0.0,0.0
0_11_11325,0.500691577771557,0.0,0.49930842222844296,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11328,0.5006653070449829,0.0,0.0,0.0,0.0,0.0,0.0,0.4993346929550171,0.0,0.0
0_11_11346,0.500825047492981,0.0,0.0,0.49917495250701904,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11425,0.5001348853111267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4998651146888733
0_11_11435,0.500860720924182,0.0,0.0,0.499139279075818,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11459,0.500789999961853,0.0,0.0,0.499210000038147,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11480,0.5004472732543945,0.0,0.0,0.0,0.0,0.0,0.0,0.49955272674560547,0.0,0.0
0_11_11517,0.5004356056581618,0.0,0.0,0.0,0.0,0.0,0.0,0.4995643943418382,0.0,0.0
0_11_11533,0.0,0.0,0.0,0.0,0.5001799017244548,0.0,0.4998200982755452,0.0,0.0,0.0
0_11_11557,0.500650063176455,0.0,0.0,0.0,0.0,0.0,0.0,0.499349936823545,0.0,0.0
0_11_11561,0.0,0.0,0.0,0.0,0.5004288703331015,0.49957112966689854,0.0,0.0,0.0,0.0
0_11_11571,0.5005615204405331,0.0,0.0,0.0,0.49943847955946685,0.0,0.0,0.0,0.0,0.0
0_11_11650,0.5001535862638478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49984641373615224
0_11_11830,0.5008595585823059,0.0,0.0,0.4991404414176941,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11852,0.5008378624916077,0.0,0.0,0.49916213750839233,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11875,0.5008394568908376,0.0,0.0,0.49916054310916236,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11881,0.5006627440452576,0.0,0.0,0.0,0.0,0.0,0.0,0.49933725595474243,0.0,0.0
