image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
bike-packing_00014_obj1,0.0,0.0,0.0,0.0,0.500326499333188,0.49967350066681204,0.0,0.0,0.0,0.0
bike-packing_00014_obj2,0.0,0.0,0.0,0.0,0.5000686496475741,0.0,0.49993135035242586,0.0,0.0,0.0
bike-packing_00020_obj1,0.0,0.0,0.0,0.0,0.4997336268424988,0.5002663731575012,0.0,0.0,0.0,0.0
bike-packing_00020_obj2,0.0,0.0,0.0,0.0,0.5004602670669556,0.0,0.49953973293304443,0.0,0.0,0.0
bike-packing_00026_obj1,0.0,0.0,0.0,0.0,0.5002528279944412,0.49974717200555885,0.0,0.0,0.0,0.0
bike-packing_00026_obj2,0.0,0.0,0.0,0.0,0.5004018545150757,0.4995981454849243,0.0,0.0,0.0,0.0
bike-packing_00032_obj1,0.0,0.0,0.0,0.0,0.5001842379570007,0.49981576204299927,0.0,0.0,0.0,0.0
bike-packing_00032_obj2,0.0,0.0,0.0,0.0,0.5005805641585757,0.49941943584142434,0.0,0.0,0.0,0.0
bike-packing_00038_obj1,0.0,0.0,0.0,0.0,0.4997590631174762,0.5002409368825238,0.0,0.0,0.0,0.0
bike-packing_00038_obj2,0.0,0.0,0.0,0.0,0.5004998892396721,0.0,0.0,0.0,0.0,0.49950011076032785
bike-packing_00044_obj1,0.0,0.0,0.0,0.0,0.49976468086242676,0.5002353191375732,0.0,0.0,0.0,0.0
bike-packing_00044_obj2,0.0,0.0,0.0,0.0,0.500571534020557,0.499428465979443,0.0,0.0,0.0,0.0
bike-packing_00050_obj1,0.0,0.0,0.0,0.0,0.49973700939825205,0.500262990601748,0.0,0.0,0.0,0.0
bike-packing_00050_obj2,0.0,0.0,0.0,0.0,0.500476598739624,0.499523401260376,0.0,0.0,0.0,0.0
bike-packing_00056_obj1,0.0,0.0,0.0,0.0,0.4997632354427348,0.5002367645572652,0.0,0.0,0.0,0.0
bike-packing_00056_obj2,0.0,0.0,0.0,0.0,0.5004137307528773,0.0,0.0,0.0,0.0,0.4995862692471227
bike-packing_00062_obj1,0.0,0.0,0.0,0.0,0.5001219511032104,0.49987804889678955,0.0,0.0,0.0,0.0
bike-packing_00062_obj2,0.0,0.0,0.0,0.0,0.5005396306836385,0.0,0.4994603693163615,0.0,0.0,0.0
bike-packing_00068_obj1,0.0,0.0,0.0,0.0,0.5004919618221533,0.4995080381778467,0.0,0.0,0.0,0.0
bike-packing_00068_obj2,0.0,0.0,0.0,0.0,0.5004585832220738,0.0,0.4995414167779262,0.0,0.0,0.0
blackswan_00004_obj1,0.0,0.0,0.0,0.0,0.5000455379486084,0.0,0.4999544620513916,0.0,0.0,0.0
blackswan_00009_obj1,0.0,0.0,0.0,0.0,0.5000627636909485,0.0,0.4999372363090515,0.0,0.0,0.0
blackswan_00014_obj1,0.0,0.0,0.0,0.0,0.49999965727330276,0.0,0.5000003427266972,0.0,0.0,0.0
blackswan_00019_obj1,0.0,0.0,0.0,0.0,0.4999403655564567,0.0,0.5000596344435433,0.0,0.0,0.0
