image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,0.0,0.0,0.0,0.0,0.5002071708379039,0.4997928291620961,0.0,0.0,0.0,0.0
0_0_155,0.0,0.0,0.0,0.0,0.5006183683503647,0.0,0.49938163164963534,0.0,0.0,0.0
0_0_272,0.0,0.0,0.0,0.0,0.5003202557563782,0.4996797442436218,0.0,0.0,0.0,0.0
0_0_280,0.0,0.0,0.0,0.0,0.49968434871183787,0.5003156512881621,0.0,0.0,0.0,0.0
0_0_284,0.0,0.0,0.0,0.0,0.0,0.49988067150115967,0.5001193284988403,0.0,0.0,0.0
0_0_307,0.0,0.0,0.0,0.0,0.5005509853363037,0.4994490146636963,0.0,0.0,0.0,0.0
0_0_355,0.0,0.0,0.0,0.0,0.5005167871867653,0.4994832128132347,0.0,0.0,0.0,0.0
0_0_431,0.0,0.0,0.0,0.0,0.5001509189605713,0.4998490810394287,0.0,0.0,0.0,0.0
0_0_547,0.0,0.0,0.0,0.0,0.5002697706222534,0.0,0.4997302293777466,0.0,0.0,0.0
0_0_579,0.0,0.0,0.0,0.0,0.500374972820282,0.499625027179718,0.0,0.0,0.0,0.0
0_0_610,0.0,0.0,0.0,0.0,0.5004354566205902,0.4995645433794098,0.0,0.0,0.0,0.0
0_0_735,0.0,0.0,0.0,0.0,0.5005331635475159,0.49946683645248413,0.0,0.0,0.0,0.0
0_0_77,0.0,0.0,0.0,0.0,0.5004486739902898,0.4995513260097102,0.0,0.0,0.0,0.0
0_0_775,0.0,0.0,0.0,0.0,0.5001095980373145,0.0,0.0,0.0,0.0,0.4998904019626855
0_0_818,0.0,0.0,0.0,0.0,0.5006386637687683,0.0,0.4993613362312317,0.0,0.0,0.0
0_0_840,0.0,0.0,0.0,0.0,0.5004794299888271,0.4995205700111729,0.0,0.0,0.0,0.0
0_0_899,0.0,0.0,0.0,0.0,0.5000535100682524,0.0,0.4999464899317476,0.0,0.0,0.0
0_0_951,0.0,0.0,0.0,0.0,0.5002914667129517,0.0,0.49970853328704834,0.0,0.0,0.0
0_10_10134,0.0,0.0,0.0,0.0,0.5005308389663696,0.49946916103363037,0.0,0.0,0.0,0.0
0_10_10135,0.0,0.0,0.0,0.0,0.5005691647529602,0.0,0.4994308352470398,0.0,0.0,0.0
0_10_10176,0.0,0.0,0.0,0.0,0.5000723600387573,0.4999276399612427,0.0,0.0,0.0,0.0
0_10_10283,0.0,0.0,0.0,0.0,0.5003529340133945,0.0,0.49964706598660547,0.0,0.0,0.0
0_10_10343,0.0,0.0,0.0,0.0,0.5002774000167847,0.0,0.49972259998321533,0.0,0.0,0.0
0_10_10392,0.0,0.0,0.0,0.0,0.5000724792480469,0.4999275207519531,0.0,0.0,0.0,0.0
0_10_10396,0.0,0.0,0.0,0.0,0.5003445297582307,0.0,0.49965547024176926,0.0,0.0,0.0
0_10_10484,0.0,0.0,0.0,0.0,0.5000515431150334,0.4999484568849666,0.0,0.0,0.0,0.0
0_10_10507,0.0,0.0,0.0,0.0,0.5005658119748291,0.4994341880251709,0.0,0.0,0.0,0.0
0_10_10536,0.0,0.0,0.0,0.0,0.500541165487205,0.0,0.49945883451279505,0.0,0.0,0.0
0_10_10545,0.0,0.0,0.0,0.0,0.5002957880673282,0.4997042119326718,0.0,0.0,0.0,0.0
0_10_10600,0.0,0.0,0.0,0.0,0.5004322528839111,0.49956774711608887,0.0,0.0,0.0,0.0
0_10_10938,0.0,0.0,0.0,0.0,0.49985039234161377,0.0,0.5001496076583862,0.0,0.0,0.0
0_11_11060,0.0,0.0,0.0,0.0,0.5004435777664185,0.49955642223358154,0.0,0.0,0.0,0.0
0_11_11111,0.0,0.0,0.0,0.0,0.500171959400177,0.499828040599823,0.0,0.0,0.0,0.0
0_11_11136,0.4996411204338074,0.0,0.0,0.0,0.5003588795661926,0.0,0.0,0.0,0.0,0.0
0_11_11164,0.0,0.0,0.0,0.0,0.5004430115486986,0.49955698845130136,0.0,0.0,0.0,0.0
0_11_11179,0.49977606534957886,0.0,0.0,0.0,0.5002239346504211,0.0,0.0,0.0,0.0,0.0
