image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_155,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_272,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_280,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_284,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_355,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_431,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_547,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_579,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_610,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_735,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_77,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_775,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_840,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_899,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_951,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10134,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10135,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10176,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10283,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10343,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10396,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10484,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10507,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10536,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10938,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11060,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11111,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
