image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,0.5004199147224426,0.0,0.4995800852775574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_155,0.0,0.5003100633621216,0.0,0.0,0.0,0.0,0.4996899366378784,0.0,0.0,0.0
0_0_272,0.500730037689209,0.0,0.0,0.499269962310791,0.0,0.0,0.0,0.0,0.0,0.0
0_0_280,0.5008430183436285,0.0,0.0,0.49915698165637146,0.0,0.0,0.0,0.0,0.0,0.0
0_0_284,0.5002568960189819,0.0,0.0,0.0,0.0,0.0,0.0,0.49974310398101807,0.0,0.0
0_0_307,0.5008204132562999,0.0,0.0,0.4991795867437001,0.0,0.0,0.0,0.0,0.0,0.0
0_0_355,0.0,0.5002613216716445,0.0,0.0,0.0,0.0,0.4997386783283555,0.0,0.0,0.0
0_0_431,0.0,0.0,0.0,0.0,0.4999659061431885,0.0,0.5000340938568115,0.0,0.0,0.0
0_0_547,0.5007586479187012,0.0,0.0,0.49924135208129883,0.0,0.0,0.0,0.0,0.0,0.0
0_0_579,0.4967709183692932,0.5032290816307068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_610,0.5003247410155756,0.0,0.0,0.0,0.0,0.0,0.0,0.49967525898442444,0.0,0.0
0_0_735,0.5007826089859009,0.0,0.0,0.4992173910140991,0.0,0.0,0.0,0.0,0.0,0.0
0_0_77,0.5004740953445435,0.49952590465545654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_775,0.5036476700410941,0.0,0.0,0.0,0.4963523299589059,0.0,0.0,0.0,0.0,0.0
0_0_818,0.5017341524879382,0.0,0.4982658475120618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_840,0.0,0.0,0.0,0.0,0.0,0.5000844150806789,0.0,0.0,0.0,0.4999155849193211
0_0_899,0.500390887260437,0.0,0.0,0.0,0.0,0.0,0.0,0.499609112739563,0.0,0.0
0_0_951,0.4996400624620896,0.5003599375379104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10134,0.5005505234167136,0.0,0.0,0.0,0.0,0.0,0.0,0.4994494765832864,0.0,0.0
0_10_10135,0.0,0.0,0.0,0.0,0.5006400346755981,0.0,0.49935996532440186,0.0,0.0,0.0
0_10_10176,0.500731348991394,0.0,0.0,0.49926865100860596,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10283,0.0,0.0,0.0,0.0,0.4999666213989258,0.5000333786010742,0.0,0.0,0.0,0.0
0_10_10343,0.5007054656533758,0.0,0.0,0.4992945343466242,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10392,0.0,0.0,0.5000659823417664,0.0,0.0,0.0,0.49993401765823364,0.0,0.0,0.0
0_10_10396,0.5006281733512878,0.0,0.49937182664871216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10484,0.4999910593032837,0.0,0.0,0.0,0.0,0.0,0.5000089406967163,0.0,0.0,0.0
0_10_10507,0.0,0.0,0.0,0.0,0.5002717822709148,0.0,0.0,0.0,0.0,0.49972821772908516
0_10_10536,0.5006288886070251,0.0,0.49937111139297485,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10545,0.5007554292678833,0.0,0.0,0.4992445707321167,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10600,0.4998643398284912,0.0,0.0,0.0,0.5001356601715088,0.0,0.0,0.0,0.0,0.0
0_10_10938,0.0,0.0,0.0,0.0,0.500023603439331,0.49997639656066895,0.0,0.0,0.0,0.0
0_11_11060,0.5003524869575355,0.0,0.0,0.0,0.49964751304246446,0.0,0.0,0.0,0.0,0.0
0_11_11111,0.5006505250930786,0.0,0.4993494749069214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11136,0.500568971020908,0.0,0.499431028979092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11164,0.5006093829688614,0.0,0.0,0.0,0.0,0.0,0.0,0.49939061703113863,0.0,0.0
0_11_11179,0.5003766417503357,0.0,0.0,0.0,0.0,0.0,0.0,0.4996233582496643,0.0,0.0
0_11_11219,0.5006883144378662,0.0,0.4993116855621338,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11263,0.5007712841033936,0.0,0.0,0.49922871589660645,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11281,0.5015871971372605,0.0,0.0,0.0,0.0,0.4984128028627395,0.0,0.0,0.0,0.0
