image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
10444876124_bd55a85740_o_car,0.5008496642112732,0.0,0.0,0.4991503357887268,0.0,0.0,0.0,0.0,0.0,0.0
10625393575_6f9fd7f779_o_sheep,0.5008751303218344,0.0,0.0,0.0,0.0,0.4991248696781656,0.0,0.0,0.0,0.0
11937588834_d5a78a9c5d_o_bottle,0.0,0.0,0.0,0.0,0.5003981590270996,0.4996018409729004,0.0,0.0,0.0,0.0
12288804004_ae1b540c4c_o_aeroplane,0.49963055549951063,0.0,0.0,0.0,0.0,0.5003694445004894,0.0,0.0,0.0,0.0
1239139870_276e6a2ef9_o_diningtable,0.0,0.0,0.0,0.0,0.0,0.500325486054257,0.499674513945743,0.0,0.0,0.0
1239139870_276e6a2ef9_o_person,0.5007077902344528,0.0,0.0,0.0,0.0,0.4992922097655472,0.0,0.0,0.0,0.0
126835587_90b6eebfa7_o_cat,0.5008312166232596,0.0,0.0,0.4991687833767404,0.0,0.0,0.0,0.0,0.0,0.0
12876707363_6ba70c8af5_o_bird,0.4998296648314695,0.0,0.0,0.0,0.0,0.5001703351685305,0.0,0.0,0.0,0.0
14111980784_2d38dfcc02_o_dog,0.5009899586144102,0.0,0.0,0.0,0.0,0.4990100413855898,0.0,0.0,0.0,0.0
14235576713_d3dfbe13b1_o_motorbike,0.49974703788757324,0.0,0.0,0.0,0.0,0.5002529621124268,0.0,0.0,0.0,0.0
14235576713_d3dfbe13b1_o_person,0.5009173154830933,0.0,0.0,0.49908268451690674,0.0,0.0,0.0,0.0,0.0,0.0
15172808539_97b76ceeab_o_train,0.5004923492816791,0.0,0.0,0.0,0.0,0.49950765071832093,0.0,0.0,0.0,0.0
15867520885_ae5da447c5_o_cat,0.5007699728012085,0.0,0.0,0.0,0.0,0.4992300271987915,0.0,0.0,0.0,0.0
15867520885_ae5da447c5_o_person,0.0,0.0,0.0,0.0,0.0,0.49970942735671997,0.50029057264328,0.0,0.0,0.0
15867520885_ae5da447c5_o_pottedplant,0.0,0.0,0.0,0.0,0.0,0.5004163384437561,0.4995836615562439,0.0,0.0,0.0
17102199419_a33fb5c196_o_train,0.5006258338503291,0.0,0.4993741661496709,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607850431_ff980d219e_o_train,0.5002870857886723,0.0,0.0,0.0,0.0,0.4997129142113277,0.0,0.0,0.0,0.0
26480820297_67bf66f8b5_o_dog,0.5003033876419067,0.0,0.0,0.0,0.0,0.49969661235809326,0.0,0.0,0.0,0.0
26480820297_67bf66f8b5_o_person,0.5001066178051645,0.0,0.0,0.0,0.4998933821948355,0.0,0.0,0.0,0.0,0.0
2662086708_2ba0663717_o_bottle,0.5006672739982605,0.0,0.4993327260017395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2662086708_2ba0663717_o_person,0.0,0.0,0.0,0.0,0.0,0.5003516674041748,0.4996483325958252,0.0,0.0,0.0
2732235809_2876233055_o_car,0.49969297647476196,0.0,0.0,0.0,0.0,0.500307023525238,0.0,0.0,0.0,0.0
2732235809_2876233055_o_person,0.5004960447697653,0.0,0.4995039552302347,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3048863084_d75a1117bb_o_horse,0.5009941309394201,0.0,0.0,0.49900586906057987,0.0,0.0,0.0,0.0,0.0,0.0
3149358543_538d50ec27_o_bicycle,0.49979472160339355,0.0,0.0,0.0,0.0,0.5002052783966064,0.0,0.0,0.0,0.0
31640175417_55233a16d7_o_pottedplant,0.4991903305053711,0.0,0.0,0.0,0.0,0.0,0.5008096694946289,0.0,0.0,0.0
31640175417_55233a16d7_o_sofa,0.0,0.0,0.0,0.0,0.4998277425765991,0.0,0.5001722574234009,0.0,0.0,0.0
