image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
10444876124_bd55a85740_o_car,0.5002758949912818,0.0,0.0,0.0,0.0,0.4997241050087182,0.0,0.0,0.0,0.0
10625393575_6f9fd7f779_o_sheep,0.4997973293005624,0.0,0.0,0.0,0.0,0.5002026706994376,0.0,0.0,0.0,0.0
11937588834_d5a78a9c5d_o_bottle,0.0,0.0,0.0,0.0,0.5001626759816014,0.0,0.49983732401839864,0.0,0.0,0.0
12288804004_ae1b540c4c_o_aeroplane,0.0,0.0,0.0,0.0,0.0,0.5005035251228951,0.4994964748771049,0.0,0.0,0.0
1239139870_276e6a2ef9_o_person,0.5005051940528991,0.0,0.0,0.0,0.49949480594710094,0.0,0.0,0.0,0.0,0.0
126835587_90b6eebfa7_o_cat,0.5006996243983619,0.0,0.0,0.0,0.0,0.4993003756016381,0.0,0.0,0.0,0.0
12876707363_6ba70c8af5_o_bird,0.0,0.0,0.0,0.0,0.4992915987968445,0.5007084012031555,0.0,0.0,0.0,0.0
14111980784_2d38dfcc02_o_dog,0.5008929967880249,0.0,0.0,0.0,0.0,0.4991070032119751,0.0,0.0,0.0,0.0
14235576713_d3dfbe13b1_o_motorbike,0.49965499340459685,0.0,0.0,0.0,0.0,0.5003450065954032,0.0,0.0,0.0,0.0
14235576713_d3dfbe13b1_o_person,0.5008839666316529,0.0,0.0,0.4991160333683471,0.0,0.0,0.0,0.0,0.0,0.0
15172808539_97b76ceeab_o_train,0.5003464818000793,0.0,0.0,0.0,0.0,0.49965351819992065,0.0,0.0,0.0,0.0
15867520885_ae5da447c5_o_cat,0.5006847530807481,0.0,0.0,0.0,0.0,0.4993152469192519,0.0,0.0,0.0,0.0
15867520885_ae5da447c5_o_pottedplant,0.0,0.0,0.0,0.0,0.0,0.5002294629743855,0.49977053702561447,0.0,0.0,0.0
17102199419_a33fb5c196_o_train,0.5006433129310608,0.0,0.4993566870689392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2607850431_ff980d219e_o_train,0.5000335574150085,0.0,0.0,0.0,0.0,0.49996644258499146,0.0,0.0,0.0,0.0
26480820297_67bf66f8b5_o_dog,0.5002504736259721,0.0,0.0,0.0,0.0,0.4997495263740279,0.0,0.0,0.0,0.0
26480820297_67bf66f8b5_o_person,0.0,0.0,0.4998372495077401,0.0,0.5001627504922599,0.0,0.0,0.0,0.0,0.0
2662086708_2ba0663717_o_bottle,0.5001564025878906,0.0,0.0,0.0,0.4998435974121094,0.0,0.0,0.0,0.0,0.0
2662086708_2ba0663717_o_person,0.0,0.0,0.0,0.0,0.49915996188878786,0.0,0.5008400381112121,0.0,0.0,0.0
2732235809_2876233055_o_car,0.4997565001176745,0.0,0.0,0.0,0.0,0.5002434998823255,0.0,0.0,0.0,0.0
2732235809_2876233055_o_person,0.5006747841835022,0.0,0.4993252158164978,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3048863084_d75a1117bb_o_horse,0.5007360876045279,0.0,0.0,0.4992639123954721,0.0,0.0,0.0,0.0,0.0,0.0
3149358543_538d50ec27_o_bicycle,0.0,0.0,0.0,0.0,0.49908278879770007,0.5009172112022999,0.0,0.0,0.0,0.0
31640175417_55233a16d7_o_pottedplant,0.0,0.0,0.0,0.0,0.49929481744766235,0.0,0.5007051825523376,0.0,0.0,0.0
31640175417_55233a16d7_o_sofa,0.0,0.0,0.0,0.0,0.49960318205375565,0.0,0.5003968179462444,0.0,0.0,0.0
31640175417_55233a16d7_o_tv,0.49966181815678423,0.0,0.0,0.0,0.5003381818432158,0.0,0.0,0.0,0.0,0.0
32458719610_ce4f95b295_o_boat,0.49930329622914504,0.0,0.0,0.0,0.0,0.500696703770855,0.0,0.0,0.0,0.0
33129627671_6d852bcb1b_o_dog,0.0,0.0,0.0,0.0,0.49992367624781586,0.0,0.5000763237521841,0.0,0.0,0.0
33129627671_6d852bcb1b_o_person,0.0,0.0,0.0,0.0,0.0,0.500444635735612,0.49955536426438796,0.0,0.0,0.0
33216685756_213d2fce9b_o_dog,0.4995754808060968,0.0,0.0,0.0,0.0,0.5004245191939032,0.0,0.0,0.0,0.0
33216685756_213d2fce9b_o_person,0.49975933135273065,0.0,0.0,0.0,0.0,0.5002406686472693,0.0,0.0,0.0,0.0
33418369478_34e2d414b0_o_bird,0.0,0.0,0.0,0.0,0.0,0.5006051659584045,0.49939483404159546,0.0,0.0,0.0
33854031078_243f790e9a_o_boat,0.4997445344924927,0.0,0.0,0.0,0.0,0.5002554655075073,0.0,0.0,0.0,0.0
34432213793_e3b4cd4bfb_o_chair,0.0,0.0,0.0,0.0,0.0,0.5004367232322693,0.4995632767677307,0.0,0.0,0.0
3452305385_03f6b12637_o_pottedplant,0.49998728930912284,0.0,0.0,0.0,0.0,0.5000127106908772,0.0,0.0,0.0,0.0
3504931215_2197746522_o_cow,0.5002313703229615,0.0,0.4997686296770385,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35437209365_176181ff01_bird,0.0,0.0,0.0,0.0,0.5001534670545618,0.49984653294543824,0.0,0.0,0.0,0.0
3574155766_446628652d_o_bird,0.5007729083529981,0.0,0.0,0.0,0.0,0.49922709164700185,0.0,0.0,0.0,0.0
3597146429_174598be9a_o_tv,0.0,0.0,0.0,0.0,0.49986435473369495,0.500135645266305,0.0,0.0,0.0,0.0
3672689292_95ed122fee_o_bus,0.5008323341856102,0.0,0.0,0.49916766581438976,0.0,0.0,0.0,0.0,0.0,0.0
37605487856_c7d4797304_o_aeroplane,0.4999255984999418,0.0,0.0,0.0,0.0,0.5000744015000582,0.0,0.0,0.0,0.0
3797521857_7fb15f0c39_o_bus,0.49985302985152513,0.0,0.0,0.0,0.0,0.5001469701484749,0.0,0.0,0.0,0.0
3797521857_7fb15f0c39_o_car,0.0,0.0,0.0,0.0,0.0,0.5002873390827376,0.4997126609172624,0.0,0.0,0.0
3837042975_f05796e37a_o_bicycle,0.0,0.0,0.0,0.0,0.0,0.5005609243941032,0.49943907560589684,0.0,0.0,0.0
3837042975_f05796e37a_o_person,0.5005536228583343,0.0,0.49944637714166573,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38651289064_b2182b92f6_o_cat,0.50016850233078,0.0,0.0,0.0,0.0,0.49983149766921997,0.0,0.0,0.0,0.0
40833828660_5b2d7a0f4b_o_cat,0.500541627407074,0.0,0.0,0.0,0.0,0.499458372592926,0.0,0.0,0.0,0.0
42343162002_e8d7500951_o_aeroplane,0.5006738751925863,0.0,0.4993261248074137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4450861797_39f2775ae5_o_car,0.0,0.0,0.0,0.0,0.49985252320326934,0.5001474767967307,0.0,0.0,0.0,0.0
4450861797_39f2775ae5_o_person,0.5003978460908578,0.0,0.0,0.0,0.4996021539091422,0.0,0.0,0.0,0.0,0.0
44719330025_1e26bb2ea6_o_bottle,0.0,0.0,0.0,0.0,0.5004426539208087,0.49955734607919133,0.0,0.0,0.0,0.0
44719330025_1e26bb2ea6_o_person,0.0,0.0,0.0,0.0,0.49977520106883055,0.5002247989311694,0.0,0.0,0.0,0.0
45984303151_b01eac2b2e_o_bird,0.4998509585768556,0.0,0.0,0.0,0.0,0.5001490414231444,0.0,0.0,0.0,0.0
4652537341_8e3d911398_o_sheep,0.5006081461906433,0.0,0.4993918538093567,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4717047473_f0c8f303a6_o_tv,0.0,0.0,0.0,0.0,0.0,0.5006058365287136,0.4993941634712864,0.0,0.0,0.0
4723313782_5ea3d2c389_o_chair,0.0,0.0,0.0,0.0,0.0,0.5000941008301347,0.4999058991698653,0.0,0.0,0.0
4723313782_5ea3d2c389_o_diningtable,0.0,0.0,0.0,0.0,0.0,0.49980358778845035,0.5001964122115496,0.0,0.0,0.0
4723313782_5ea3d2c389_o_person,0.5003079771995544,0.0,0.0,0.0,0.0,0.49969202280044556,0.0,0.0,0.0,0.0
4735390680_bd6796c28d_o_cat,0.500812292098999,0.0,0.0,0.0,0.0,0.499187707901001,0.0,0.0,0.0,0.0
47387878741_0c2da86654_o_bottle,0.0,0.0,0.0,0.0,0.5005787461823599,0.49942125381764013,0.0,0.0,0.0,0.0
47387878741_0c2da86654_o_diningtable,0.0,0.0,0.0,0.0,0.5002739727660401,0.49972602723395987,0.0,0.0,0.0,0.0
47387878741_0c2da86654_o_person,0.5000176429748535,0.0,0.0,0.0,0.4999823570251465,0.0,0.0,0.0,0.0,0.0
4760186444_1456cb9bc0_o_bus,0.5007405877113342,0.0,0.49925941228866577,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4838895562_2664b6eca5_o_sofa,0.4995234757803835,0.0,0.0,0.0,0.0,0.0,0.5004765242196165,0.0,0.0,0.0
4914354205_08447ec61a_o_chair,0.0,0.0,0.0,0.0,0.5003997087478638,0.49960029125213623,0.0,0.0,0.0,0.0
4982019059_08cbd87a53_o_cow,0.500604048389317,0.0,0.49939595161068295,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5026136615_b64f7ac510_o_boat,0.0,0.0,0.0,0.0,0.5001585483551025,0.0,0.49984145164489746,0.0,0.0,0.0
5193713346_5ac12837d0_o_sofa,0.0,0.0,0.0,0.0,0.500377029158054,0.0,0.49962297084194596,0.0,0.0,0.0
5435324902_2f5b7aa7f0_o_horse,0.49970938266189746,0.0,0.0,0.0,0.0,0.5002906173381025,0.0,0.0,0.0,0.0
5435324902_2f5b7aa7f0_o_person,0.5003656298031101,0.0,0.0,0.0,0.49963437019688994,0.0,0.0,0.0,0.0,0.0
5440958464_90844cabbb_o_sheep,0.5006047487258911,0.0,0.4993952512741089,0.0,0.0,0.0,0.0,0.0,0.0,0.0
