image_name,Dp,Gd,Gc,sp,ctr,bri,tex,frac,Sm,prompt
0_0_147,0.5004201680547049,0.0,0.4995798319452951,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_155,0.0,0.0,0.0,0.0,0.4998923093112615,0.0,0.5001076906887385,0.0,0.0,0.0
0_0_272,0.5007300079303985,0.0,0.0,0.49926999206960154,0.0,0.0,0.0,0.0,0.0,0.0
0_0_280,0.5008431970570566,0.0,0.0,0.4991568029429434,0.0,0.0,0.0,0.0,0.0,0.0
0_0_284,0.5004695355612316,0.0,0.49953046443876836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_307,0.5008204132562999,0.0,0.0,0.4991795867437001,0.0,0.0,0.0,0.0,0.0,0.0
0_0_355,0.0,0.0,0.0,0.0,0.49965189396297616,0.0,0.5003481060370238,0.0,0.0,0.0
0_0_431,0.0,0.0,0.0,0.0,0.4999659210453653,0.0,0.5000340789546347,0.0,0.0,0.0
0_0_547,0.500758692599574,0.0,0.0,0.49924130740042605,0.0,0.0,0.0,0.0,0.0,0.0
0_0_579,0.5000657439231873,0.0,0.0,0.49993425607681274,0.0,0.0,0.0,0.0,0.0,0.0
0_0_610,0.5005283504881963,0.0,0.4994716495118037,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_735,0.5007826536660596,0.0,0.0,0.49921734633394044,0.0,0.0,0.0,0.0,0.0,0.0
0_0_77,0.5005227774225838,0.0,0.0,0.0,0.0,0.4994772225774162,0.0,0.0,0.0,0.0
0_0_775,0.5036479234695435,0.0,0.0,0.0,0.49635207653045654,0.0,0.0,0.0,0.0,0.0
0_0_818,0.5017352997222364,0.0,0.4982647002777636,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_840,0.49990919232909725,0.0,0.0,0.0,0.0,0.5000908076709027,0.0,0.0,0.0,0.0
0_0_899,0.5006033182144165,0.0,0.4993966817855835,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_0_951,0.501801073551178,0.0,0.0,0.498198926448822,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10134,0.5005587339401245,0.0,0.4994412660598755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10135,0.0,0.0,0.0,0.0,0.5006395131540153,0.0,0.49936048684598466,0.0,0.0,0.0
0_10_10176,0.5007313340684374,0.0,0.0,0.4992686659315626,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10283,0.0,0.0,0.0,0.0,0.4999668598175049,0.5000331401824951,0.0,0.0,0.0,0.0
0_10_10343,0.5007055551023947,0.0,0.0,0.4992944448976053,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10392,0.0,0.0,0.5000664293726427,0.0,0.0,0.0,0.4999335706273573,0.0,0.0,0.0
0_10_10396,0.5006281584314061,0.0,0.49937184156859393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10484,0.49999086558791594,0.0,0.0,0.0,0.0,0.0,0.500009134412084,0.0,0.0,0.0
0_10_10507,0.0,0.0,0.0,0.0,0.5003414154052734,0.0,0.49965858459472656,0.0,0.0,0.0
0_10_10536,0.5006288290023804,0.0,0.49937117099761963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10545,0.5007553249822654,0.0,0.0,0.4992446750177346,0.0,0.0,0.0,0.0,0.0,0.0
0_10_10600,0.49986429512905195,0.0,0.0,0.0,0.500135704870948,0.0,0.0,0.0,0.0,0.0
0_10_10938,0.0,0.0,0.0,0.0,0.5000247210256838,0.49997527897431615,0.0,0.0,0.0,0.0
0_11_11060,0.5003512501716614,0.0,0.0,0.0,0.4996487498283386,0.0,0.0,0.0,0.0,0.0
0_11_11111,0.5006505250930786,0.0,0.4993494749069214,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11136,0.5005691051483154,0.0,0.49943089485168457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11164,0.5007002949714661,0.0,0.49929970502853394,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11179,0.500484049320221,0.0,0.49951595067977905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11219,0.500688374042511,0.0,0.499311625957489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0_11_11263,0.5007712841033936,0.0,0.0,0.49922871589660645,0.0,0.0,0.0,0.0,0.0,0.0
